# solver	iter	max-congestion	stddev
semimcfraeke	0	0.465661	0.000000
semimcfraeke	1	0.465661	0.000000
semimcfraeke	2	0.465661	0.000000
semimcfraeke	3	0.465661	0.000000
semimcfraeke	4	0.465661	0.000000
semimcfraeke	5	0.465661	0.000000
semimcfraeke	6	0.465661	0.000000
semimcfraeke	7	0.465661	0.000000
semimcfraeke	8	0.465661	0.000000
semimcfraeke	9	0.465661	0.000000
semimcfraeke	10	0.465661	0.000000
semimcfraeke	11	0.465661	0.000000
semimcfraeke	12	0.465661	0.000000
semimcfraeke	13	0.465661	0.000000
semimcfraeke	14	0.465661	0.000000
semimcfraeke	15	0.465661	0.000000
semimcfraeke	16	0.465661	0.000000
semimcfraeke	17	0.465661	0.000000
semimcfraeke	18	0.465661	0.000000
semimcfraeke	19	0.465661	0.000000
semimcfraeke	20	0.465661	0.000000
semimcfraeke	21	0.465661	0.000000
semimcfraeke	22	0.465661	0.000000
semimcfraeke	23	0.465661	0.000000
semimcfraeke	24	0.465661	0.000000
semimcfraeke	25	0.465661	0.000000
semimcfraeke	26	0.465661	0.000000
semimcfraeke	27	0.465661	0.000000

